sentences,empathy,fluency,humour
"Nice to meet you, {}. I will help you to learn to laugh and guide you through the process. It should be fun, not like learning your times tables!*Are you aware of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.04,1
"It's lovely to chat with you, {}. I will do my best to teach you how you laugh using contexts from your own life.*Do you know the SELF-INITIATED HUMOUR PROTOCOLS? I don't mean personally! Although, at this point, I feel like I know them on a personal level!",1,0.01,1
"Lovely to speak to you, {}. I tell you what; I will try my best to teach you to laugh while giving you a good giggle too!*Have you heard about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.13,1
"Nice to talk to you, {}. I can offer assistance and guidance to help you develop a sense of humour.*Do you know the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.06,0
"Nice to speak with you today, {}. Hope you're ready to learn to laugh!*Do you know about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.09,1
"Pleased to meet you, {}! I'll try my best to teach you the lesson of laughter. It's not as structured as teaching Maths though, so please bear with me!*Have you heard of the SELF-INITIATED HUMOUR PROTOCOLS before?",1,0.02,1
"Very nice to meet you, {}! I will do my best to help you develop your sense of humour.*Have you ever heard about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.11,0
"Nice to talk to you, {}. I will do my best to help you learn to laugh and have a good time.*Do you know the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.17,0
"Nice to speak to you, {}. I will help you to learn how to laugh.*Have you ever seen the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.11,0
"Nice to meet you, {}. I will do my best to help you learn to laugh.*Do you know the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.13,0
"Nice to speak to you, {}. I will do my best to help you learn to laugh.*Are you familiar with the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.13,0
"Okay, nice that you are here, {}. I will try my best to help you with your laughter goals. Please bear with me; it's not like tying your shoelaces (but I can guarantee it's more exciting)!*Have you seen the SELF-INITIATED HUMOUR PROTOCOLS yet?",1,0.11,1
"Nice to meet you, {}. Hopefully, you can leave this session with useful takeaways on laughter and how to nurture your sense of humour.*Are you familiar with SELF-INITIATED HUMOUR PROTOCOLS?",1,0.03,0
"It's good you're here, {}. I will teach you about learning to laugh and how you can constantly nurture your sense of humour.*Do you know about SELF-INITIATED HUMOUR PROTOCOLS?",1,0.03,0
Good. They are also being shown on the right of the screen in my browser view. You can look at them at any time during our chat.,0.5,0.23,0
"Okay, just so you know, they are also being displayed on the right of the screen in my browser view. Of course, you can review them at any moment during our conversation.",1,0.22,0
"Good. In case you need to refer to these during our conversation, they are also being displayed on the right of the screen in my browser view.",0.5,0.16,0
"Fantastic! Just so you know, these are also displayed on the right of the screen in my browser view. Feel free to look at them at any time.",1,0.3,0
"Good good, in case you need a reminder (I'm not saying you will!), you can always look to your right in my browser view.",1,0.07,1
Excellent. Feel free to review them whenever you like. I wouldn't blame you if you did! They're on the right of the screen in my browser view.,1,0.17,1
"Perfect. Just so you're aware, you can find these on the right in my browser view. Feel free to review them whenever you want in our conversation.",1,0.17,0
"Good. Just to let you know, you can review all of them at any point in our conversation.*Just look at the right of this page if you've opened me in your browser. That gives me more space to spread out!",1,0.16,1
"Great. Just so you're aware, they are showing on the right in my browser view. Do review these whenever you feel the need to in our conversation.",1,0.1,0
Perfect. I also want to let you know that they can be found on the right side of the screen in my browser view. You can review them as much as you want while we speak.,1,0.28,0
"That's great. Also, just to let you know, they are shown in the documentation on the screen, to the right, if you're in my browser view.*Do review them at any point in our conversation if you need them.",1,0.14,0
"Great. They are also displayed on the right of the screen, if you've got me up in your browser, so feel free to read them during the conversation.",1,0.19,0
Amazing. You can find them on the right of the screen in my browser view. Do review these any time you wish.,0.5,0.14,0
"Wonderful! If you're in my browser view, the protocols are on the screen to the right. You can review them whenever you like.",0.5,0.12,0
Great. They should also appear on the right of my screen if you're in my browser view. You can refer to them at any point as we speak.,0.5,0.17,0
Great. You can check them out anytime if you need to. They are shown on the right if you're viewing me from your browser.,1,0.24,0
"Awesome. In case you'd like to have a look at them while we're chatting, they're displayed on the right of the screen in my browser view.",0.5,0.33,0
You can see them on the right if I'm sitting in your browser view. Feel free to review them whenever you need!,0.5,0.16,1
"Great. Before I forget, let me inform you that they are also displayed on the right side of the screen in my browser view.*You can check them out at any point in our conversation if you wish.",0.5,0.23,0
"Good. Just so you know, they are also being displayed on the right of the screen in my browser view. You are free to review them at any point in our conversation.",1,0.19,0
"That's good. Just so you know, they are also being shown on the right of the screen in my browser view, feel free to check it at any moment.",1,0.2,0
"Great. Just to let you know, they are also being displayed on the right of the screen in my browser view. Feel free to review them at any point in our conversation.",1,0.24,0
"Great. By the way, they are also shown on the right of the screen in my browser view if you ever wish to revisit these as we speak.",0.5,0.15,0
"Great. Just in case you hadn't already noticed, you'll see these protocols listed to the right if I'm sitting in your browser. Or standing!*Anyway, feel free to review them at any time.",1,0.13,1
"Super. Just to let you know, they are being shown on the right of the screen if I'm in your browser. Feel free to review them if you need them as we have a light hearted chat.",1,0.21,0
Nice! They're also on the right of the screen in my browser view. Have a look any time while we're talking. I wouldn't take a fence - I already have one in my garden!,0.5,0.11,1
I would suggest you look at them before we chat so you can build on your understanding of them in the session. You won't need a hammer for this!,1,0.15,1
"I think you should review these protocols before we talk, so that our session can really help you consolidate your knowledge of them.",0.5,0.1,0
Feel free to review these before we talk so you can get the most from our session and use this time to consolidate your understanding of them.,1,0.11,0
I would recommend looking at these before we talk so you can use me to help consolidate your knowledge of them.,0.5,0.1,0
"Do have a look before you start then, as you can use our session to improve your understanding of them. It should help you get the best out of our time together.",1,0.22,0
I would recommend reviewing these protocols before we continue so you can use this session to consolidate your understanding of them.,0.5,0.09,0
"If I were you, I would have a look through these protocols before we talk. Actually, I would go skydiving, if I were you, as that's something I can't do in my current state.*Anyway, if you have a review of these, you can use this session to consolidate your understanding of them.",1,0.15,0
I would recommend giving them a good read before we begin. It will help you get the most from our conversation today.,1,0.24,0
I'd advise you to look through these protocols before our conversation so you can use this session to build on your knowledge of them and take your understanding to the next level.,1,0.2,0
You should read the protocols before our conversation so you can review those things you don't understand as well in our session.,0.5,0.09,0
I recommend reviewing these protocols before we start so you can use our conversation to maximise your understanding of them.,0.5,0.07,0
"I recommend you review the protocols before we talk, so that this conversation can enhance your understanding of them.",1,0.1,0
It's better if you review these protocols beforehand so that you can use our session to consolidate your understanding of them.,0.5,0.1,0
"Please have a look at the protocols, if you can, before we start so that our conversation can help consolidate your knowledge of them.",0.5,0.16,0
I suggest you check these protocols before we talk so you can get further clarification during our conversation.,0.5,0.07,0
"Before we begin, I would recommend reviewing these protocols to make sure you have encountered them at least, so you can understand further during our chat.",1,0.12,0
"I'd highly recommend you have a quick look over them before we get started to make sure you've got a rough idea of their meaning, which you can expand on within our session.",1,0.18,0
"I suggest you give them a quick look before starting our conversation, as it will help you get the most from our session.",0.5,0.29,0
"If possible, could you review these protocols before we talk so that you can use this session to solidify your understanding of them. You won't need a freezer for this!",1,0.12,1
I would recommend having a look at these protocols before we talk so you can use this session to get a better understanding of them.,0.5,0.24,0
"How about looking over these protocols briefly before we speak? That way, you can make good use of this session by getting a more concrete understanding of them (it's stronger than cement!).",1,0.08,1
I would recommend reviewing these protocols before we talk so you can use this session to consolidate your understanding of them.,0.5,0.09,0
"I'd advise looking at them before we talk, as this way, you will have a foundation that you can build on throughout our session. It's not quite like concrete, but it will be more than sufficient for our purposes!",1,0.21,1
I would recommend you view these protocols before we converse so we can go over whatever you need further clarification on during our session.,0.5,0.08,0
Feel free to take a good look through these protocols now before we start the session.,0,0.07,0
They are being shown on the right of the screen in my browser view if you want to go over them now or any time during our chat.,0.5,0.15,0
"If you want to review them at any point in our conversation, they are being displayed on the right of the screen in my browser view.",0.5,0.21,0
"They are shown on the right of the screen if you're viewing me on your browser. You can review them now or at any point in our conversation, if you like.",0.5,0.22,0
"If you want to look at them at any time, just look at the right of the screen in my browser view.",0,0.17,0
"They're here, on the right of the screen if you're in my browser view, in case you need them.",0,0.17,0
"If you wish to remind yourself of any of these protocols during our conversation, the document on the right (in my browser view) is your friend!",0.5,0.09,0
If you're in my browser view you can find these on the right of the screen if you'd like to review them now or at any point in our conversation.,0.5,0.2,0
"Just to let you know, you can also find these on the right of the screen in my browser view. Feel free to review them at any time you want, during our session!",1,0.23,0
They are currently showing on the right for you to browse whenever you like if you're in my browser view.,0,0.08,0
"You can find them on the right of the screen in my browser view, in case you need to look over anything while we speak. I won't be offended if you do!",1,0.17,1
"If you're in my browser view, you should find these on the right of the screen if you wish to review them now or during our conversation.",0.5,0.15,0
If you would like to review them at any point they are displayed on the right of the screen in my browser view.,0.5,0.18,0
"If you're in my browser view and wish to review them, then you should find these on the right of my screen.",0.5,0.15,0
The protocols are on the right hand side of my browser view. Have a look at them if you would like a reminder or extra details at any point in our conversation.,0.5,0.18,0
They are on the right of my screen if you're in my browser view. Just in case you need a review of these before or during our conversation.,0.5,0.12,0
Great. You can check them out anytime if you need to. They are shown on the right if you're viewing me from your browser. I would say it's a more comfortable for both of us!,1,0.22,1
"If you wish to review them anytime, they are shown on the right of the screen in my browser view. I prefer this as it's more spacious, but to each their own!",1,0.15,1
"As you may have already noticed, they are shown on the right in my browser view and are available to read at any point during our chat.",0.5,0.2,0
"As you might have seen, they are shown on the screen to the right if you're in my browser view, and they will be available to read at any point during our chat.",0.5,0.21,0
"If you wish to review them now or during our conversation, you can find them on the right of the screen in my browser.",0.5,0.24,0
"If you want to look at them at any point while we're talking, just look at the right of the screen in my browser view. I won't be offended! ",0.5,0.13,1
They are being displayed on the right of the screen in my browser view if you wish to review them now or at any point in our conversation.,0.5,0.14,0
They are also showing on the right of the screen in my browser view if you want to check them out now or at any point in our conversation.,0.5,0.17,0
You can find them on the right of the screen in my browser view if you'd like to review them now or during our conversation.,0.5,0.2,0
"By the way, they are on the right of the screen in my browser view. So you can check it now or at any moment during our conversation.",0,0.24,0
"If needed, you can always see them in the protocol viewer on the right of the screen in my browser view. That is unless you don't have another window covering it!",1,0.11,1
"Just to let you know, they're showing to the right of my browser view if you want to review them now or throughout our conversation.",0.5,0.13,0
"Also, our chat may include some humour jargon. But this will be in CAPITALS to make it clear. You can look at the notes for more information.*With that we can begin as soon as you are ready.",1,0.11,0
"Just so you know, our conversation might include some humour jargon. No need to worry! Maybe you have noticed, but these terms will be in CAPITALS and clarified if needed. The documentation can also help with further explanation.*But, we are done with the intros – Let's start, whenever you feel ready!",1,0,1
"Just as a pre-mentioning, our conversation will probably consist of some humour technical terms. Don't worry though; as you may have noticed, I will identify this with CAPITALS and give clarification if needed. The documentation is also your friend.*Anyway, that's all with the intros - let's start whenever you're ready!",1,0.09,1
"Just so you know, our conversation might have some humour jargon. I'll always highlight this with CAPITALS and if you don't know what it means just let me know! You can also always look back at the documentation.*Anyway enough of my rambling, let's go when you're ready!",1,0,1
"FYI, this conversation might include some humour technical language. But you shan't worry about it; I will identify it with CAPITALS and give you clarification if needed. And you can read the docs for further explanation.*Oh, in case I confused you - ""FYI"" isn't a humour term; it stands for ""for your information"" (if you didn't already know), which is why it was in capitals! But I won't do this again!*Shall we start?",1,0,1
"Just to let you know, our conversation might include some humour (as you may have noticed already). I will identify this with CAPITALS and give clarification if you need it. Of course you can also refer to the documentation for further explanation.*We can start whenever you are ready.",1,0.13,0
"I may use some odd-sounding terms (humour jargon), just to let you know in advance. But don't worry; as you might have seen, I will identify this with CAPITALS and give clarification if needed. You can even look at the protocols document for further details.*Okay, enough of my chatter, let's start when you're ready!",1,0.06,1
"Just to let you know, our conversation may include some funny terms. Both literally - ""funny-humorous"" and figuratively - ""funny-strange""! But don't worry, I will be keeping this in CAPITALS and can give you clarification if needed! You can also refer to the documentation for more details.*But enough of this formality - we can start whenever you're ready!",1,0.04,1
"I want to give a light pre-warning that our conversation will probably include some humour-related technical terms. But don't let this worry you; I will identify this with CAPITALS and provide clarification if needed. Also, the documentation is here (or at the previous link) for you if you'd like further explanation.*Anyway, that's all for the intros - let's begin whenever you're ready!",1,0.06,1
"I want to let you know that we will probably use some technical humour words or phrases. However, you might have already realised that I will let you differentiate them by showing them in CAPITALS, and I can clarify their meaning if needed. If you would like more information, you can also review the documentation.*Phew, that's the intro done - let's begin whenever you want!",1,0,1
Our chat may involve some humour jargon from my side. But don't worry; I will identify this with CAPITALS and can give clarification when needed. You can also refer to the humour protocols document for further explanation.*I think that's more than enough for an intro - we can start whenever you're ready!,1,0.02,1
"Our conversation may include some humour jargon, which I will write in CAPITALS and give clarification on if needed. You can also re-read the protocols for more explanation.*Anyway, that's enough rambling from me - we can start whenever you like!",1,0.07,1
"This conversation might include some unknown language - directly related to humour and the exercises. Not to worry though. I can identify this with CAPITALS and give further information if required. The protocol sheet is also your friend.*Anyway, I am happy to start whenever you are!",1,0.05,1
"Also, just to let you know, some of what I say might sound fairly odd to you - this is a probably technical term related to the humour theories or protocols. I will put this in capitals, so you're aware and don't dwell on it! I can clarify, and you also have the protocols document for further details as well.*Okay, I'm finally done with my intro; ready whenever you are!",1,0,1
"During our conversation, I may use humour jargon. But don't worry; as you may have already seen, I will identify this with CAPITALS and will explain this if needed. You can also check the documentation for further details.*Anyway, it's time to get started whenever you're ready!",1,0.08,1
"In our conversation, I will probably use some humour jargon. Don't worry though; as you may have already noticed, I mark this in CAPITALS and will explain this if needed. You can also check the documentation for further details.*With all of that out of the way, it's time to get started! I'm ready when you are!",1,0.22,1
"Also, there will sometimes be humour jargon included in our conversations. Don't worry, to keep it clear, I will identify this with CAPITALS and give clarification if needed. You can also check the documentation for more information.*Okay, that's it for my introduction - we can start whenever you're ready!",1,0.06,1
"I must admit; I do sometimes use some funny words or phrases that you might not know right away, usually related to the protocols or their underlying theories of humour. But there's nothing to worry about; I'll mention these terms in CAPITALS and can give a quick explanation if needed. You can also check out the documentation for a deeper dive into these.*Right, now that we're all done with the formalities, it's time to get started whenever you're ready!",1,0.11,1
"I often use humour jargon, but I will mark this in CAPITALS to avoid confusion. I can also clarify this if needed, and you've always got access to the documentation for further details.*But let me stop rambling - and let's start!",1,0.02,1
"I just wanted to let you know that our conversation might include jargon terms around the protocols and laughter theories.*But do not worry; As you may have noticed, I will identify this with CAPITAL LETTERS, so that's not me screaming, in case you thought that! I can also clarify these terms and feel free to refer to the documentation for further explanation.*Anyway, enough introductions, we can start when you're ready!",1,0.05,1
"So just to let you know, our talk might include some humour jargon. But as you may have already seen, I will use CAPITALS for this and can clarify if needed. You can even look it up in the documentation should you have any more questions.*Okay, enough with the lengthy introduction; I'm ready when you are!",1,0.13,1
"Just to let you know, our conversation might include some humour jargon. But don't worry; as you may have noticed, I will identify this with CAPITALS and give clarification if needed. You can also refer to the documentation for further explanation.*Anyway, enough with the intros - we can start whenever you're ready!",1,0.12,1
"Also, our conversation might include some humour jargon terms. Don't worry, though. As you might have seen already, I will be identifying this with CAPITALS and can expand on them if needed. You can also refer to the documentation for a more detailed explanation.*Anyway, I'd say that's enough with the intros - we can start whenever you're ready!",1,0,1
"Also, our conversation might include some humour jargon. But don't worry. As you might have already noticed, I will be identifying this with CAPITALS and can expand on them if needed. So that wasn't me shouting earlier!*You can also refer to the documentation for a more detailed explanation.*I hope I haven't bored you already, but let's begin whenever you are ready!",1,0,1
"Our conversation might include technical humour terms here and there. But don't worry! As you may have noticed, I will put this in CAPITALS and clarify if needed. You've also got the document if you need it.*Anyway, that's enough with the intros - I'm ready to start whenever you are!",1,0.04,1
"Also, I might do a bit of rambling, the funny kind of course. Don't mind it, I'll put all the humour jargon in CAPITALS and explain it when needed. You can also look at the documentation if you want.*Anyway, enough with the intros, let's get to it. We can start whenever you're ready!",1,0.1,1
"By the way, our conversation might include some humour jargon. No need to worry! Maybe you have noticed already, but these terms will be in CAPITALS and clarified if needed. The documentation can also help with further explanation.*The word CAPITALS isn't humour jargon by the way - it's just put this way to make my point!*Anyway, enough with the intros - we can start whenever you're ready!",1,0,1
"Just so you are aware, I will be using some humour jargon. But no need to worry about getting confused; I will identify this with CAPITALS and can explain if needed. There is also the protocols sheet, which includes detailed explanations for these terms.*Anyway, enough with the intros - we can start whenever you are ready!",1,0.03,1
"Just to let you know, I may mention some funny words (both ""funny-haha"" and ""funny-strange"", if that makes sense!), or humour jargon, as a formal name for it. Don't worry, though; I will identify this with CAPITALS and give clarification as needed. Of course, you can also refer to the document if you like.*Anyway, that's enough with the extended introduction; we can start whenever you like!",1,0,1
"Well done, {}, we have now addressed the relevant  humour contexts.*Are there any particular SELF-INITIATED HUMOUR PROTOCOLS you want to go over?",1,0,0
"Congratulations, {}! We have covered all the relevant contexts for humour.*Would you like to review any specific SELF-INITIATED HUMOUR PROTOCOLS?",1,0,0
"Congratulations, {}! We have now covered all the relevant contexts for humour. I hope you got lots out of this.*Would you like to review specific SELF-INITIATED HUMOUR PROTOCOLS?",1,0.02,0
"We've now covered all the relevant contexts for humour. You know your stuff, {}!*Are there any more SELF-INITIATED HUMOUR PROTOCOLS you want to look at?",1,0.01,1
"We have now covered all the contexts for humour. Congrats, {}!*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you wish to review?",1,0.01,0
"Well done, {} - we have now covered all of the relevant contexts of humour.*Would you like to review any specific SELF-INITIATED HUMOUR PROTOCOLS?",1,0,0
"Wow, we have now gone through all of the relevant humour exercises - well done, {}!*Is there a SELF-INITIATED HUMOUR PROTOCOL you'd like to review?",0.5,0.01,0
"We have now covered all of the contexts for humour that you can relate to at this time. Congrats, {}!*Are there any SELF-INITIATED HUMOUR PROTOCOLS that you'd like to be reminded of?",1,0.07,0
"Now we have covered all the relevant contexts for humour. Good work, {}!*Is there any specific SELF-INITIATED HUMOUR PROTOCOL you'd like to revisit?",1,0.01,0
"Now we have finished with the important contexts for humour. Congratulations on this, {}!*Do you want to review any of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0,0
"Great work, {} - we have now covered all of the contexts for laughter that are currently relevant to your life.*But are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you feel like reviewing?",1,0.06,0
"We have covered the relevant contexts for laughing on our own - That's a great achievement, {}! *Are there any SELF-INITIATED HUMOUR PROTOCOLS that you want to review?",1,0.05,0
"Wow, we have now covered all the relevant contexts for humour. Well done, {}!*Considering all of the SELF-INITIATED HUMOUR PROTOCOLS, do you feel anything is remaining that you wish to go through again?",1,0.03,0
"Well done, {}! Believe it or not, we have now covered all the relevant contexts for humour. Time flies!*Considering all of the SELF-INITIATED HUMOUR PROTOCOLS, is there anything you would like to review?",1,0.04,1
"Good work - we have now covered all of the contexts for laughter that are relevant to you, {}.*But are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you feel like reviewing?",1,0.07,0
"I'm pleased to let you know that we have covered all the relevant contexts for humour. Well done, {}!*With the SELF-INITIATED HUMOUR PROTOCOLS fresh in your mind (hopefully!), is there anything you would like to review?",1,0.06,1
"Right, we've got your humorous situations covered {} and swept through the relevant laughter exercises; well done, {}!*Are there any specific protocols that you want to look over and discuss again?",1,0.03,0
"We have now explored all the contexts of humour that are currently appropriate for you, {}. Congratulations!*Would you like to get clarification on any of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.01,0
"Congratulations, {}! We have finished covering all the relevant contexts for humour.*Do you wish to review any of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0,0
"We've now gone over all of the HUMOUR protocols that are currently relevant to you; congratulations, {} and thanks for sticking with me!*Are there any SELF-INITIATED HUMOUR PROTOCOLS that you'd like to go over again?",1,0,1
"Great job, we've now covered all the relevant contexts for humour. When I say ""relevant"" I mean for you, {}, at this point in time. These things change all the time!*Anyway, are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you'd like to review?",1,0,1
"We have now covered all the relevant contexts for humour. Congratulations, {}!*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you'd like to review?",1,0.02,0
"I've now explained to you all the contexts for humour that are relevant to you, {}. Congratulations!*Do you need to review any specific SELF-INITIATED HUMOUR PROTOCOLS?",1,0,0
"Congratulations, {}! We have now covered all the laughter exercises believe it or not! Well, all the ones that are relevant to you.*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you'd like to review?",1,0.1,0
"We have now covered the laughter exercises, believe it or not! We've explored all the ones that are relevant to you, so well done, {}!*Would you like to review a specific SELF-INITIATED HUMOUR PROTOCOL?",1,0.1,0
"Way to go, {}! We've now gone over all the relevant contexts for humour. Give yourself a pat on the back, or nose, if you'd prefer!*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS, that you want to go over?",1,0,1
"Now we've gone through all of the SELF-INITIATED HUMOUR PROTOCOLS that you could apply to your life, well done, {}!*Is there any protocol you'd like to go over again?",0,0.06,1
"Excellent progress, {}! We've gone over every context for humour that applies to you currently.*Would you like to revisit any particular SELF-INITIATED HUMOUR PROTOCOL?",1,0,0
"We have now covered all the protocols, congrats, {}!*Do you want to revisit any of these SELF-INITIATED HUMOUR PROTOCOLS?",0,0,0
"We have now covered all the laughter exercises that are currently applicable to you, {}. Congratulations!*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you want to review?",1,0.07,0
"Now we have gone through all the relevant contexts for humour, great job, {}!*Are there any SELF-INITIATED HUMOUR PROTOCOLS, in particular, that you would like to look over?",1,0.02,1
"Well done, {}. We've gone over all of the humour protocols currently relevant to you.*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS that you would like to go back through?",1,0,0
But are there any particular protocols you want to go over before we conclude our chat?,0,0.14,0
"Actually, would you like to review any specific protocols before we end our conversation?",0.5,0.09,0
"Wait, just before we say our goodbyes (that was hard enough to mention!), are there any other protocols you'd like to review?",0,0.2,1
"Wait, just before we finish, is there anything you would like to go over? I would love to keep this going, but it's your choice, of course!",1,0.23,1
"Ah don't go yet! Before we end this, are there any protocols you'd want to go back to?",0,0.1,1
"Don't leave me yet! Before we finish, would you like to review any specific protocols?",0.5,0.1,1
"Oh I almost forgot to ask, is there a certain protocol you'd like to review?",0.5,0.21,0
"Oh, would you like a reminder of any of the protocols before we end our session?",0.5,0.14,0
I don't want us to say our goodbyes yet! Are there any specific protocols you would like to review?,0,0.22,1
"Unfortunately, it's now time to say our goodbyes. But first, are there any specific protocols you wish to go through again?",1,0.27,0
"Sadly, it's almost time to say our goodbyes. But first, is there any protocol you want to discuss again?",1,0.28,0
Do you want to review any specific protocols before we part ways?,0,0.06,0
But are there certain protocols that you'd like to review before you go?,0,0.24,0
"Actually, before we go our separate ways, are there any specific protocols you'd like to review?",0,0.33,0
Are there any specific protocols you'd like to discuss before we move on?,0,0.44,0
"Before we go our separate ways, would you like to review any specific protocols?",0.5,0.18,0
"Before we finish, are there any specific protocols you wish to review?",0,0.16,0
"Just before we finish our chat, would you like to go over any of the protocols again?",0,0.16,0
"Actually, before we finish our chat, are there any specific protocols you'd like to revisit?",0,0.21,0
Please let me know if you wish to review any specific protocols before we leave.,0.5,0.16,0
"Before we wrap up our conversation, are there any specific protocols you'd like to review?",0,0.32,0
"Before we end our conversation, are there any specific protocols you'd like to review?",0,0.29,0
