Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sad - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Angry - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Anxious - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - That's Good! Let me recommend a protocol you can attempt.,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the protocol that you would like to attempt","All emotions - Please try to go through this protocol now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this protocol?,All emotions - Would you like to attempt another protocol? (Patient feels better),All emotions - Would you like to attempt another protocol? (Patient feels worse)
I am sorry to hear that. Did something happen prior to this feeling? You can be open with me. ,"It's OK to feel this way. Was that event recent, or was it more distant in your past? ",,,Thank you for sharing your feelings. I have some more that I'd like to ask to help understand your situation better. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Have you experienced any of these negative emotions yourself and/or shown them towards someone else: ",,"Thank you for sharing this. Do you feel like a victim in your current situation, looking to put your negative feelings on someone else? ","Deep down, do you have the feeling that you are attempting to control another person? ",,,,"I understand, thank you for sharing your feelings with me, I would like to know more about what happened. Would you say that something specific caused you to feel this way? ",,,,"I can understand what it feels like to be angry, and want to help. I would like to get some more information now, to better help you. ",,,,"I understand. Is there someone around you or in your life that you are trying to control? You can tell me honestly, I am here to help, not to judge.",,,,"I am sorry to hear you're not feeling great today. Is there anything in particular that made you feel like this? Don't worry, we will try and work it out.",Please help me understand further. Did that happen recently or a while ago? ,"I know this is hard, so thank you for sharing with me. Is Protocol 6 something you have tried and found yourself upset as a result of it? ","I know this is hard, so thank you for sharing with me. Is Protocol 11 something you have tried and found yourself upset as a result of it? ","I am more than happy to listen to your concerns and sharing your feelings with me. If I may, I'd like to ask you some more questions, if that is OK with you. ","I know when I get anxious or scared, I can sometimes react in a negative way without thinking; I wonder if the same has ever happened to you too. I would like you to consider them and then tell me if you have strongly felt any of them or expressed any of these emotions towards someone in particular: ","I understand that you are not feeling well today, and would like to investigate further what is bothering you. Could it be that you feel a need to try to rescue others and that this may be the source of the anxiety you are feeling? ",,,Do you always feel responsible for the way things turn out in your life? ,"Do you always, truly listen to everyone talking to you? ",I wonder if there are also other factors that are contributing to this anxious feeling. Are you by any chance experiencing personal difficulties at present? ,This is fantastic to hear. Can I recommend a protocol to enhance that? I hope it could inspire you and brighten your day even more.,"Thank you for your openness. I have the impression that you are {} today, is this correct? ","Oh I'm so sorry, I really appreciate you telling me I've got it wrong - sometimes it can be hard. Would you kindly choose from the list below how you are actually feeling? ",Thank you ever so much. I look forward to more fruitful engagements with you in the future. ,"I have here a few protocols that I would like you to look at, I think that they may be right for the situation. It's your choice which protocol you want to follow. ","Thank you for choosing this protocol, please go through it now. When you have finished, press 'continue'. ",Thanks for trying the protocol. How do you feel after doing this protocol? I hope it did help. ,"I am happy this session was helpful. Do you think it would be helpful if you were to attempt another protocol and if so, would you like to try another one now? ","That can sometimes happen, but there are more protocols here which might work better for you. What about trying a different protocol and seeing if that makes you feel better? "
I am sorry to hear that. Did something happen prior to this feeling? ,It's OK to feel this way. Was this event distant or recent? ,,,"Thank you for sharing your feelings. I'd like you to provide me with some more information now, if it's all right with you. ","We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Have you discussed with someone or have you been feeling any of these strong emotions: ",,"Are you unhappy because someone else has made you feel bad, like you've been hurt by them and you're the victim? ",,,,,"Thank you, I would like to better relate to what's going on. Is there something in particular which made you feel this way? ",,,,"Very well, thank you for your openness and honesty. I'd like to ask some more questions about this if that's OK with you. ",,,,I understand. Is there someone around you or in your life that you are trying to control? ,,,,I am sorry to hear you're not feeling great today. Is there anything in particular that made you feel like this? ,"Please help me understand further. Would you be able to tell me, was this a recent or distant event? ","I know this is hard, so thank you for sharing with me. Have you recently been thinking about this event and has it brought up some upsetting emotions for you? ","I know this is hard, so thank you for sharing with me. Have you recently been thinking about this event and has it brought up some upsetting emotions for you? ",I am more than happy to listen to your concerns and sharing your feelings with me. Do you mind if I ask you some more questions? ,"I know when I get anxious or scared, I can sometimes react in a negative way without thinking; I wonder if the same has ever happened to you too. Is this situation making you feel any particularly negative emotions, such as the ones listed below: ","I understand that you are not feeling well today, and would like to investigate further what is bothering you. Do you think it's possible that at least some of your anxiety could be caused by the burden of feeling responsible for saving someone else? ",,,Do you believe that you should always be hard on yourself when things don't go to plan? ,"I am wondering, have you tried to listen carefully and consider other viewpoints put forward by those that you love? ","I wonder if there are also other factors that are contributing to this anxious feeling. Are you experiencing any difficulties with loved ones, or friends? ",This is fantastic to hear. Can I recommend a protocol to enhance that? ,"Thank you for your openness. I think that perhaps you are feeling {}, do you think that's true? ","Oh I'm so sorry, I really appreciate you telling me I've got it wrong - sometimes it can be hard. Just to avoid any further confusion, please select from the emotions below the one that best reflect your current feelings: ","Thank you ever so much. I'm looking forward to seeing you again soon, take care. ","I have here a few protocols that I would like you to look at, I think that they may be right for the situation. Which of the following would you like to explore? ","Thank you for choosing this protocol, please go through it now. Select 'continue' when you are ready. ",Thanks for trying the protocol. How do you feel after doing this protocol? I hope it has helped. ,"I am happy this session was helpful. Do you think it would be helpful if you were to attempt another protocol and if so, would you like to try another one now? ","That can sometimes happen, but there are more protocols here which might work better for you. What about trying a different protocol and seeing if that makes you feel better? "
I am sorry to hear that. Are there events that led up to this? You can be open with me. ,It's OK to feel this way. Was it a recent event or more distant in the past? ,,,"Thank you for sharing your feelings. To understand the reason why you are feeling this way in detail, I would now like to ask you some questions, if I may. ","We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Do you identify with any of these emotions: ",,Do you feel that someone has been abusing you or victimising you lately? ,,,,,"Thank you, I would like to better relate to what's going on. Was this caused by something specific? ",,,,"Very well, thank you for your openness and honesty. I'd like to ask some questions to get a better understanding of your situation. ",,,,"I understand. Is it possible that you are trying to take charge of someone else's life? You can tell me honestly, I am here to help, not to judge.",,,,"I am sorry to hear you're not feeling great today. Was there anything in particular that caused you to feel this way? Don't worry, we will try and work it out.","Please help me understand further. Was this because of something that happened recently, or are you remembering something from the more distant past? ","I know this is hard, so thank you for sharing with me. Have you tried using Protocol 6 recently and found the experience distressing? ","I know this is hard, so thank you for sharing with me. Have you already attempted Protocol 11 but found that, instead of easing your anxiety, it made it worse? ",I am more than happy to listen to your concerns and sharing your feelings with me. I'd now like to move on and ask you some more questions to better understand your feelings at the moment. ,"I know when I get anxious or scared, I can sometimes react in a negative way without thinking; I wonder if the same has ever happened to you too. Have you at any time expressed or felt any of the following emotions towards someone: ","I understand that you are not feeling well today, and would like to investigate further what is bothering you. Do you think it is your responsibility to help others? ",,,Do you think that you are always responsible when things don't work out the way you want them to? ,Do you feel you are generally good at considering the viewpoints of others? ,"I wonder if there are also other factors that are contributing to this anxious feeling. Is this anxiety actually worse than we've talked about, are you really suffering due to something major that is going on in your life? ",This is fantastic to hear. May I recommend a protocol that is suitable for your current mood? I hope it could inspire you and brighten your day even more.,"Thank you for your openness. I have the feeling that you are {}, is that the case? ","Oh I'm so sorry, I really appreciate you telling me I've got it wrong - sometimes it can be hard. Please tell me, which of these emotions below are you experiencing? ",Thank you ever so much. I hope to see you soon. ,"I have here a few protocols that I would like you to look at, I think that they may be right for the situation. Which protocol would you like to try? ","Thank you for choosing this protocol, please go through it now. When you finish, press the 'continue' button. ",Thanks for trying the protocol. How do you feel after doing this protocol? I hope that it will have been of benefit to you. ,I am happy this session was helpful. Do you think you might like to do another protocol? ,"That can sometimes happen, but there are more protocols here which might work better for you. Would you like to attempt another one which hopefully will be much more helpful to you? "
I am sorry to hear that. Are there events that led up to this? ,It's OK to feel this way. Did the event that is making you feel this way happen recently or a long time ago? ,,,Thank you for sharing your feelings. Please let me ask you a few questions to better understand how I can help. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Have you found yourself feeling and/or expressing any of the following emotions towards another person: ",,"May I ask if you feel like a victim right now, and someone else is responsible for your sadness? ",,,,,"Thank you, I would like to better relate to what's going on. Was this caused by a specific incident? ",,,,"Very well, thank you for your openness and honesty. I'd like to ask you a few questions now to let me understand you a bit better. ",,,,I understand. Is it possible that you are trying to take charge of someone else's life? ,,,,I am sorry to hear you're not feeling great today. Was there anything in particular that caused you to feel this way? ,"Please help me understand further. Do you mind telling me when this happened, was it recent or distant? ","I know this is hard, so thank you for sharing with me. Have you already tried to think back to this event and if so, has it caused you to feel worse? ","I know this is hard, so thank you for sharing with me. Have you made an attempt at Protocol 11 recently and if you have, did you feel that this brought up some feelings that were difficult to deal with when you thought of these recent events? ",I am more than happy to listen to your concerns and sharing your feelings with me. Can I ask a few questions to help me understand what's going on? ,"I know when I get anxious or scared, I can sometimes react in a negative way without thinking; I wonder if the same has ever happened to you too. Could you tell me whether you have been feeling or have expressed any of these emotions towards someone: ","I understand that you are not feeling well today, and would like to investigate further what is bothering you. Is there someone in your life that you feel may be needing your help, even though they did not ask for it? ",,,Do you always tend to blame yourself when things go wrong? ,"Would you, in all honesty, say that you're capable of seeing things from other people's points of view? ",I wonder if there are also other factors that are contributing to this anxious feeling. Do you feel you may be going through a personal crisis right now? ,This is fantastic to hear. May I recommend a protocol that is suitable for your current mood? ,"Thank you for your openness. Judging by your response, I think that you're feeling {}, would I be correct in saying that? ","Oh I'm so sorry, I really appreciate you telling me I've got it wrong - sometimes it can be hard. Which of these emotions are you feeling currently, in your opinion? ",Thank you ever so much. I look forward to seeing you in the near future. ,"I have here a few protocols that I would like you to look at, I think that they may be right for the situation. Could you look through them and tell me which one you think would be most beneficial for you and that you would like to try? ","Thank you for choosing this protocol, please go through it now. Once you have finished, all you need to do is press 'continue'. ",Thanks for trying the protocol. How do you feel after doing this protocol? ,I am happy this session was helpful. Do you think you might like to do another protocol? ,"That can sometimes happen, but there are more protocols here which might work better for you. Would you like to attempt another one which hopefully will be much more helpful to you? "
I am sorry to hear that. Is your mood caused by anything specific? You can be open with me. ,It's OK to feel this way. May I ask if this was a recent or distant event? ,,,Thank you for sharing your feelings. I would now like to ask some questions to further understand your dilemma. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Could you tell me whether you have felt or expressed any of the following emotions: ",,Would you say that someone else is causing your negative emotions? ,,,,,"Thank you, I would like to better relate to what's going on. Please tell me, was this caused by a particular event? ",,,,"Very well, thank you for your openness and honesty. I'd like to ask a few more questions to help me understand your situation. ",,,,"I understand. May I ask if you feel so responsible for someone that you may be trying to control them? You can tell me honestly, I am here to help, not to judge.",,,,"I'm sorry to hear that. Do you think this could be linked with any particular event? Don't worry, we will try and work it out.",Is this a recent event that has occurred or is it something from the distant past? ,"I know this is hard, so thank you for sharing with me. Have you already attempted Protocol 6 but found that, instead of easing your anxiety, it made it worse? ","I know this is hard, so thank you for sharing with me. Has trying out Protocol 11 recently caused you anxiety by making you recall this event? ","Thank for answering those questions, I understand that it may have been difficult for you. Would you like to talk some more so that I can provide some useful suggestions to you? ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Have you felt or expressed any of the following towards anyone recently: ",Do you believe you are letting someone down? ,,,,,"Thank you, I'd like to know more about how you are feeling in general. Is there a recent event between you and another person that is making you feel unwell or depressed? ","Fantastic! Your current state of wellbeing would really give you a good foundation for trying a protocol which could help you to consolidate and build on the positive elements in your life, helping you to maximise your potential for happiness, shall we try it? I hope it could inspire you and brighten your day even more.","Thank you. I get the impression you are feeling {}, am I right? ",Sorry for the misunderstanding. Would you like to pick out the kind of emotion you are feeling from this list? ,Thank you ever so much. I look forward to another session soon. ,I think one of these protocols might be right for you. I'd be interested to know which protocol you would like to try. ,"Thank you for choosing this protocol, please go through it now. Once you have finished please press 'continue'. ",That's fine. How do you feel now? I hope it did help. ,That's very good to hear. Do you think you might like to try another and see how that goes? ,"I'm sorry that hasn't helped. There are other protocols that might work better for you, do you want to try one? "
I am sorry to hear that. Is your mood caused by anything specific? ,It's OK to feel this way. Was this to do with something that happened recently or a more distant event? ,,,Thank you for sharing your feelings. I would like to ask you some questions so I could know your situation better. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. May I ask whether you have experienced any of these feelings recently: ",,"Could you tell me if you see yourself as the victim, blaming someone else for how negative you feel? ",,,,,"Thank you, I would like to better relate to what's going on. Is it due to a particular event? ",,,,"Very well, thank you for your openness and honesty. I have a few more questions to help me understand the situation. ",,,,I understand. May I ask if you feel so responsible for someone that you may be trying to control them? ,,,,I'm sorry to hear that. Do you think this could be linked with any particular event? ,"Did this happen recently, or is it something that's been preying on your mind for a while? ","I know this is hard, so thank you for sharing with me. Have you tried Protocol 6 recently, and has this brought up uncomfortable memories and made you feel overwhelmed? ","I know this is hard, so thank you for sharing with me. Have you tried Protocol 11 recently, and has this brought up uncomfortable recent memories and made you feel overwhelmed? ","Thank for answering those questions, I understand that it may have been difficult for you. May I ask you some more questions, so that hopefully I can help you deal with this negative feeling? ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Would you say, if I may ask, that you have strongly felt or expressed any of the following emotions towards someone: ",Do you think you have something important to offer someone else? ,,,,,"Thank you, I'd like to know more about how you are feeling in general. Are you going through any personal trauma in your life? ","Fantastic! Your current state of wellbeing would really give you a good foundation for trying a protocol which could help you to consolidate and build on the positive elements in your life, helping you to maximise your potential for happiness, shall we try it? ","Thank you. I believe you are {}, am I correct in thinking that? ","Sorry for the misunderstanding. Please give me a bit of help to make sure I do understand, you can select from this list of emotions the one that best describes what you're feeling: ","Thank you ever so much. I hope I will see you soon, bye! ",I think one of these protocols might be right for you. Would you like to select one? ,"Thank you for choosing this protocol, please go through it now. Then when you finish, just press 'continue'. ",That's fine. How do you feel now? I hope it has helped. ,That's very good to hear. Do you think you might like to try another and see how that goes? ,"I'm sorry that hasn't helped. There are other protocols that might work better for you, do you want to try one? "
I am sorry to hear that. Can you tell me if a specific event may have caused that? You can be open with me. ,It's OK to feel this way. Has this event happened recently or was it a while back? ,,,"Thank you for sharing your feelings. I'd like to ask you some more questions, so that I can understand the situation a bit better. ","We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Could you tell me if you have felt or expressed any of these emotions towards anyone: ",,Do you feel you are a victim in this regrettable situation? ,,,,,"Thank you, I would like to better relate to what's going on. Was there something that triggered this feeling? ",,,,"Very well, thank you for your openness and honesty. Let's talk about this a bit more, if you don't mind. ",,,,"I understand. Do you often find yourself trying to control others? You can tell me honestly, I am here to help, not to judge.",,,,"I'm sorry to hear that. Is it something specific that has caused you to feel this way? Don't worry, we will try and work it out.",Is the reason for this feeling something that happened in your younger days or more recently? ,"I know this is hard, so thank you for sharing with me. Have these emotions been reignited due to you attempting Protocol 6 by any chance? ","I know this is hard, so thank you for sharing with me. Have these emotions been reignited due to you attempting Protocol 11 by any chance? ","Thank for answering those questions, I understand that it may have been difficult for you. To understand your situation more clearly I would like to ask you some more questions. ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Have you felt something like the following toward someone else: ",Do you sometimes feel that you're trying to rescue everyone? ,,,,,"Thank you, I'd like to know more about how you are feeling in general. Would it be accurate to say that you are currently experiencing difficult circumstances in your personal life, for instance in relationships with either loved ones or friends? ",Fantastic! Do you think you might like to try a protocol today? I hope it could inspire you and brighten your day even more.,"Thank you. Now, I would just like to clarify you are feeling {}, is that correct? ",Sorry for the misunderstanding. What emotion would you say you are feeling at the moment? ,I am grateful for your participation today. Really hope to see you again soon! ,I think one of these protocols might be right for you. Would you be kind enough to look at them and select a protocol which you would like to attempt? ,"Thank you for choosing this protocol, please go through it now. When you're done, just hit 'continue'. ",That's fine. How do you feel now? I hope that it will have been of benefit to you. ,That's very good to hear. Would you like to try another protocol and see if it also makes you feel better? ,I'm sorry that hasn't helped. Would you like to try another and see if it helps? 
I am sorry to hear that. Can you tell me if a specific event may have caused that? ,It's OK to feel this way. Was the event that caused your sadness a recent event or something that happened a while ago? ,,,Thank you for sharing your feelings. I'd like to ask a few more questions to get to know your situation better. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Do you think any of the following emotions aptly describe how you've felt recently: ",,"Do you think this is someone else's fault, is there someone that's causing you to feel bad? ",,,,,"Thank you, I would like to better relate to what's going on. Can I ask you if an event started you feeling this way? ",,,,"Very well, thank you for your openness and honesty. I hope you don't mind me asking a few more things so that I can understand better. ",,,,I understand. Do you often find yourself trying to control others? ,,,,I'm sorry to hear that. Is it something specific that has caused you to feel this way? ,This thing that is making you feel anxious - did it happen recently or was it some time ago? ,"I know this is hard, so thank you for sharing with me. Has trying out Protocol 6 recently jogged your memory and caused you anxiety by making you recall this event? ","I know this is hard, so thank you for sharing with me. Did trying Protocol 11, if you have, reignite this bad feeling for you? ","Thank for answering those questions, I understand that it may have been difficult for you. Is it OK if I continue to ask you some more questions so I can get a clearer understanding of your situation? ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Would you say that you have recently felt any of the emotions below towards someone, and/or expressed them: ",May I ask if in your life you feel like it's your job to somehow 'save' someone else? ,,,,,"Thank you, I'd like to know more about how you are feeling in general. Are you having strained relations with the people in your life and that is causing you great distress? ",Fantastic! Do you think you might like to try a protocol today? ,"Thank you. If I understand correctly, you are feeling {} right now, would you say that's true? ",Sorry for the misunderstanding. Please read the below emotions and select the one that best fits how you feel: ,I am grateful for your participation today. Talk again soon. ,I think one of these protocols might be right for you. Feel free to pick which protocol you'd like to try. ,"Thank you for choosing this protocol, please go through it now. When you are done, press 'continue'. ",That's fine. How do you feel now? ,That's very good to hear. Would you like to try another protocol and see if it also makes you feel better? ,I'm sorry that hasn't helped. Would you like to try another and see if it helps? 
I am sorry to hear that. Can you think of anything specific that happened to cause this? You can be open with me. ,It's OK to feel this way. Was this event recent or did it happen a while ago? ,,,Thank you for sharing your feelings. I'd like to ask you some more questions which might help me understand. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Did you have any of these strong feelings towards someone, whether you have told them about it or not: ",,Do you find that others are often to blame for things that go wrong around you? ,,,,,"Thank you, I would like to better relate to what's going on. Could you tell me if your anger was caused by a specific event? ",,,,"Very well, thank you for your openness and honesty. I'd like to ask you some questions which might help me make sense of it. ",,,,"I understand. Could you look within yourself and tell me if you feel you are trying to control someone? You can tell me honestly, I am here to help, not to judge.",,,,"I'm sorry to hear that. Is there something in particular that caused your feeling? Don't worry, we will try and work it out.","When did this happen, recently or a while back? ","I know this is hard, so thank you for sharing with me. Have you already tried Protocol 6, and if so have you actually found that the emotions it brought back were too intense? ","I know this is hard, so thank you for sharing with me. Have you tried using Protocol 11 recently and found the experience distressing? ","Thank for answering those questions, I understand that it may have been difficult for you. I'm just going to ask a few more questions to figure out what's the best way to help you through this. ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Have any of these emotions troubled you lately: ","Do you believe you are capable of saving everyone, at all times? ",,,,,"Thank you, I'd like to know more about how you are feeling in general. Do you feel people you adore and care about are not understanding what you are going through during this difficult time? ",Fantastic! How about I reccomend a protocol to you to make sure you treasure this positive feeling? I hope it could inspire you and brighten your day even more.,"Thank you. It sounds to me like you're {} right now, does that description match how you feel? ",Sorry for the misunderstanding. Which of the emotions off this list best describes what you are experiencing? ,I am grateful for your participation today. I look forward to our next session. ,I think one of these protocols might be right for you. Would you like to choose one to try? ,"Thank you for choosing this protocol, please go through it now. When you finish, please press ""continue"". ","That's fine. How do you think you are feeling now, having completed the protocol? I hope it did help. ",That's very good to hear. Shall we try another? ,I'm sorry that hasn't helped. Would you be open to trying a different protocol? 
I am sorry to hear that. Can you think of anything specific that happened to cause this? ,"It's OK to feel this way. Would you say that it was a recent or a distant event, so that I can get a better picture? ",,,Thank you for sharing your feelings. I have a couple of questions to help me understand your situation. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Have you felt or spoken to anyone else about feeling any of these emotions: ",,"Do you feel like a victim in your current situation, looking to put your negative feelings on someone else? ",,,,,"Thank you, I would like to better relate to what's going on. Would you say that something specific caused you to feel this way? ",,,,"Very well, thank you for your openness and honesty. I would like to get some more information now, to better help you. ",,,,I understand. Could you look within yourself and tell me if you feel you are trying to control someone? ,,,,I'm sorry to hear that. Is there something in particular that caused your feeling? ,Did this event happen recently or is it something that has been on your mind for some time? ,"I know this is hard, so thank you for sharing with me. Have you made an attempt at Protocol 6 recently and if you have, did you feel that this brought up some feelings that were difficult to deal with when you thought of these past events? ","I know this is hard, so thank you for sharing with me. Have you alredy tried to think back to this event and if so, has it caused you to feel worse? ","Thank for answering those questions, I understand that it may have been difficult for you. Shall we talk further to help me understand how I can support you in your situation? ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Do you think that you have strongly felt or expressed any of these emotions towards someone: ","Do you consider yourself an empath, and is it important to you to always be there for others? ",,,,,"Thank you, I'd like to know more about how you are feeling in general. Is there anything going on in your life that feels bigger than normal? ",Fantastic! How about I reccomend a protocol to you to make sure you treasure this positive feeling? ,"Thank you. I believe you're feeling {}, could you confirm that? ",Sorry for the misunderstanding. Can you let me know how you feel by choosing the correct emotion from the list below? ,"I am grateful for your participation today. I really would like to see you again soon, so please drop by when you can. ",I think one of these protocols might be right for you. Please select the one which you think is best suited for you. ,"Thank you for choosing this protocol, please go through it now. When you have finished, please could you press the 'continue' button. ","That's fine. How do you think you are feeling now, having completed the protocol? I hope it has helped. ",That's very good to hear. Shall we try another? ,I'm sorry that hasn't helped. Would you be open to trying a different protocol? 
I am sorry to hear that. Can you tell me if it was caused by a specific event or events that you could share? You can be open with me. ,It's OK to feel this way. Did this happen recently or a while ago? ,,,Thank you for sharing your feelings. Let's talk about this some more. ,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Have you had any of these strong feelings and/or have you expressed them toward another person: ",,,,,,,I hear you. Is there something in particular which made you feel this way? ,,,,Thank you for sharing this with me. I'd like to ask some more questions about this if that's OK with you. ,,,,"I understand. Do you feel you may be trying to control someone else perhaps? You can tell me honestly, I am here to help, not to judge.",,,,"I'm sorry to hear that. Did something happen that made you feel anxious? Don't worry, we will try and work it out.",Can you think whether the event that is causing you to feel this way happened recently or in the past? ,"I know this is hard, so thank you for sharing with me. Did trying Protocol 6, if you have, reignite this bad feeling for you? ","I know this is hard, so thank you for sharing with me. Have you already tried Protocol 11, and if so have you actually found that the emotions it brought back were too intense? ","Thank for answering those questions, I understand that it may have been difficult for you. So if it's okay, let me ask some questions to try and understand things a little more. ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. May I ask if you have felt or expressed any of these emotions towards someone: ",Are you feeling this way because you are trying to help someone that you care for? ,,,,,"Thank you, I'd like to know more about how you are feeling in general. Is there something particularly distressing going on in your life that could be affecting how you are feeling? ",Fantastic! I actually have some beneficial protocols you could try. I hope it could inspire you and brighten your day even more.,"Thank you. If I'm understanding correctly, you would identify as being {}, is that a fair assessment? ","Sorry for the misunderstanding. Could you please select from the emotions below the one that best reflects what you are feeling, so I can understand it better? ",I am grateful for your participation today. I look forward to more fruitful engagements with you in the future. ,I think one of these protocols might be right for you. Please tell me which protocol you would like to try. ,"Thank you for choosing this protocol, please go through it now. Try this protocol, and when you have worked through it, press 'continue'. ","That's fine. How do you think you are feeling now, having completed the protocol? I hope that it will have been of benefit to you. ",That's very good to hear. Would you like to continue and pick another protocol? ,I'm sorry that hasn't helped. Shall we try another? 
I am sorry to hear that. Can you tell me if it was caused by a specific event or events that you could share? ,"It is important to understand how long you have been dealing with this issue. Was that event recent, or was it more distant in your past? ",,,I appreciate you sharing. I have some more that I'd like to ask to help understand your situation better. ,Have you experienced any of these negative emotions yourself and/or shown them towards someone else: ,,,,,,,I hear you. Was this caused by something specific? ,,,,Thank you for sharing this with me. I'd like to ask some questions to get a better understanding of your situation. ,,,,I understand. Do you feel you may be trying to control someone else perhaps? ,,,,I'm sorry to hear that. Did something happen that made you feel anxious? ,"Is this something you've been worried about for a while, or is it something new that's on your mind? ","You are probably familiar with Protocol 6, which can be used to look back to traumatic events. Is Protocol 6 something you have tried and found yourself upset as a result of it? ","Protocol 11 can sometimes upset people, so I wonder if that has happened to you. Is Protocol 11 something you have tried and found yourself upset as a result of it? ","Thank for answering those questions, I understand that it may have been difficult for you. Do you mind if I ask you a few more questions? ","I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Do you feel that your anxiety may have caused you to feel any of these other emotions: ","I wonder, in your heart of hearts, do you think it's reasonable or healthy to always put others first? ",,,,,"Thank you, I'd like to know more about how you are feeling in general. Are you having a more stressful time than usual in your personal life (for example, a problem with loved ones or friends)? ",Fantastic! I actually have some beneficial protocols you could try. ,"Thank you. I think that you may be feeling {}, do you agree? ",Sorry for the misunderstanding. Could you please help me by selecting the option from the list that best matches how you're feeling? ,"I am grateful for your participation today. I'm looking forward to seeing you again soon, take care. ",I think one of these protocols might be right for you. Please select the protocol that you would like to try: ,"Give it a go now, please. When you have finished, press 'continue'. ","That's fine. How do you think you are feeling now, having completed the protocol? ",That's very good to hear. Would you like to continue and pick another protocol? ,I'm sorry that hasn't helped. Shall we try another? 
