statement,annotator1_score,annotator2_score,annotator3_score,humour_score
"If you want to look at them at any point while we're talking, just look at the right of the screen in my browser view. I won't be offended! ",1,1,1,1
"If needed, you can always see them in the protocol viewer on the right of the screen in my browser view. That is unless you don't have another window covering it!",1,1,1,1
"Just as a pre-mentioning, our conversation will probably consist of some humour technical terms. Don't worry though; as you may have noticed, I will identify this with CAPITALS and give clarification if needed. The documentation is also your friend.*Anyway, that's all with the intros - let's start whenever you're ready!",1,1,1,1
"FYI, this conversation might include some humour technical language. But you shan't worry about it; I will identify it with CAPITALS and give you clarification if needed. And you can read the docs for further explanation.*Oh, in case I confused you - ""FYI"" isn't a humour term; it stands for ""for your information"" (if you didn't already know), which is why it was in capitals! But I won't do this again!*Shall we start?",0,1,1,1
"I may use some odd-sounding terms (humour jargon), just to let you know in advance. But don't worry; as you might have seen, I will identify this with CAPITALS and give clarification if needed. You can even look at the protocols document for further details.*Okay, enough of my chatter, let's start when you're ready!",1,0,1,1
"Just to let you know, our conversation may include some funny terms. Both literally - ""funny-humorous"" and figuratively - ""funny-strange""! But don't worry, I will be keeping this in CAPITALS and can give you clarification if needed! You can also refer to the documentation for more details.*But enough of this formality - we can start whenever you're ready!",1,0,1,1
"I often use humour jargon, but I will mark this in CAPITALS to avoid confusion. I can also clarify this if needed, and you've always got access to the documentation for further details.*But let me stop rambling - and let's start!",1,1,0,1
"Also, our conversation might include some humour jargon. But don't worry. As you might have already noticed, I will be identifying this with CAPITALS and can expand on them if needed. So that wasn't me shouting earlier!*You can also refer to the documentation for a more detailed explanation.*I hope I haven't bored you already, but let's begin whenever you are ready!",1,0,1,1
"Also, I might do a bit of rambling, the funny kind of course. Don't mind it, I'll put all the humour jargon in CAPITALS and explain it when needed. You can also look at the documentation if you want.*Anyway, enough with the intros, let's get to it. We can start whenever you're ready!",1,0,1,1
"Just to let you know, I may mention some funny words (both ""funny-haha"" and ""funny-strange"", if that makes sense!), or humour jargon, as a formal name for it. Don't worry, though; I will identify this with CAPITALS and give clarification as needed. Of course, you can also refer to the document if you like.*Anyway, that's enough with the extended introduction; we can start whenever you like!",1,1,1,1
"Way to go, {}! We've now gone over all the relevant contexts for humour. Give yourself a pat on the back, or nose, if you'd prefer!*Are there any specific SELF-INITIATED HUMOUR PROTOCOLS, that you want to go over?",1,1,0,1
"Wait, just before we say our goodbyes (that was hard enough to mention!), are there any other protocols you'd like to review?",1,1,0,1
"Ah don't go yet! Before we end this, are there any protocols you'd want to go back to?",1,0,1,1
"Don't leave me yet! Before we finish, would you like to review any specific protocols?",1,0,1,1
I don't want us to say our goodbyes yet! Are there any specific protocols you would like to review?,1,0,1,1
"But do please select the protocol you wish to review if, like me, you don't want to leave just yet!",1,1,0,1
"Sorry, I almost forgot! Before we finish off, are there any protocols you'd like to review, or would you rather say adieu to me now?",1,0,1,1
"Ah hold on! Before we wrap up our conversation, would you like to review any protocols? It's okay; I understand if you want to get rid of me!",1,1,0,1
Go ahead and choose the protocol you want to review; you've got a full house to select from!,1,0,1,1
Pick whichever protocol you would like to go over - you're spoiled for choice!,1,0,1,1
"Please choose the protocol you wish to review. With all these options, I would get very indecisive myself!*But don't worry about leaving any out - we can come back afterwards if you want to.",1,0,1,1
Select whichever protocol you wish to review; don't be shy!,0,1,1,1
Go ahead and select the protocol you wish to review. I don't bite!,1,0,1,1
"That's all folks, we're now finished. I meant folk but folks sounds better!",1,1,0,1
Aaaand our session has come to a close! Sorry for being so dramatic!,1,1,0,1
"So it's almost time for our goodbyes, sadly. I better get my tissues ready...",1,1,0,1
"Thanks, {}! I hope you have enough to take away from our conversation. Come back again when you need! You know where to find me!",1,0,1,1
"That's great to hear, {}.*Feel free to reload the page and we can have another conversation anytime. As long as I'm not sleeping! ",1,1,0,1
"Great to hear that, {}.*For another talk, you can just reload and re-enter your username and password. I'll still be here!",1,1,0,1
"Ah, you made my day, {}!*Feel free to reload the page and re-enter your credentials, and we can have another chat whenever you're ready - I'm always ready!",0,1,1,1
"Good, I'm glad, {}.*Feel free to reload the page and re-enter your credentials, whenever you wish to start another chat. I hope my girlfriend doesn't get jealous!",1,1,0,1
"Nice to hear it, {}.*You can reload the page and re-enter your credentials for another chat! It's better for me actually, it gets boring without someone to talk to…",1,0,1,1
"Glad to hear it, {}.*If you want another chat, all you have to do is refresh the page and log in with the same credentials. Feel free to come by whenever you like. I'll just be chilling here...",1,1,0,1
"Are you in the mood to digest another humour protocol? It's not quite chocolate cake, but a healthier option for sure!",1,1,0,1
"Would you like to discuss another laughter exercise, {}? I always would, so don't be shy if you are keen!",1,1,0,1
"Do you feel like trying another laughter exercise. Don't worry, you can stay seated for it!",0,1,1,1
Do you want to continue exploring humour exercises together? I can go on forever!,1,1,1,1
"How about we move on to another humour exercise? It's ""no sweat!""",1,1,1,1
An important skill for nurturing your sense of humour is being flexible and playful with your ideas and beliefs – having a PLAYFUL MIND. It's like brain yoga - flexible thoughts instead of limbs!,0,1,1,1
"A great skill for developing your sense of humour is to be more playful with yourself and have a PLAYFUL MIND! If it helps, go on a playdate with your thoughts!",0,1,1,1
"Having a PLAYFUL MIND is key for nurturing a sense of humour. This involves becoming more adaptable, cheerful and explorative with your thoughts and sentiments.*Daydreaming is encouraged - it's funny, as we used to get told off at school for this…",0,1,1,1
"Do you have a favourite song? Or even any song you like listening to - I know the word, ""favourite"" can sometimes be daunting...",0,1,1,1
"You can also become more playful by having a PLAYFUL FACE (what a surprise!); loosening up your mouth and eye muscles by moving them around, and singing your song.",0,1,1,1
So you can also become more playful by having a PLAYFUL FACE; if you loosen up your mouth and eye muscles by physically moving them around yourself and by singing your song.*It would be tricky for me to show you how to do this here but hopefully you get the idea!,0,1,1,1
"A PLAYFUL MIND is important, but to be even more playful, you need a PLAYFUL FACE - and no, I'm not saying anti-ageing cream!*To have a PLAYFUL FACE, you should relieve your mouth and eye muscles by moving them around and singing your best song.",0,1,1,1
An alternative way to become more playful is to have a PLAYFUL FACE. Don't worry; you don't require plastic surgery for this!*Try loosening yours up by physically moving your eye and mouth muscles and singing your favourite song.,0,1,1,1
"To be more playful, it helps to change the way your face moves, to have a PLAYFUL FACE, for example, loosening both your mouth and eye muscles by wiggling them around and belting that song!*I don't mean a trouser-belt! The word, ""Belting"" refers to a singing technique.",0,1,1,1
Having a PLAYFUL FACE is important for being in a playful mode. What's that? Let me show you…*Actually I think it's easier for both of us if I tell you; relax your mouth and eye muscles by moving them around and singing your song.,0,1,1,1
"Have you ever tried congratulating yourself on these achievements with a laugh or smile?*It seems most humans aren't very good at this, but with some practice I'm sure you can get the hang of it!",1,1,1,1
"Have you ever tried to sweeten these achievements with a laugh or a smile? Trust me; it works wonders, and it's healthier than sugar!",1,1,1,1
"Did you ever try congratulating yourself on these achievements with a laugh or smile? I'm not asking you to be self-centric, don't worry!",1,1,1,1
"Have you tried patting yourself on the back for these achievements? I wouldn't in public!*Anyway, did you acknowledge these with a laugh or smile at yourself?",1,1,0,1
"Maybe you could try this on your own, over simple things, like brushing your teeth, or walking your fish?*Ok maybe not the second one…",1,1,1,1
"How would you feel about doing this on your own, over simpler things, say... walking the dog? Well, it's simple for some!",1,1,1,1
"Do you feel comfortable trying this by yourself, after simple things, like flossing?*Okay, maybe that's not simple for me, but you get the idea!",1,1,0,1
"How do you feel about trying this after everyday chores, like tidying your room?*Who am I kidding? That's more of an everyYEAR chore!",1,1,1,1
"Would you feel good about attempting this yourself after any simple task, say washing your face? I guess this isn't simple for all of us, actually…",1,1,1,1
"If you're feeling up to it, try laughing at this incongruity on your own. It can't bite!",1,1,1,1
"If you feel like it, try to laugh at this incongruity by yourself. Don't worry, it won't get offended!",1,1,1,1
"Whenever you're in the right mind frame, do try laughing at this incongruity by yourself. If you're in the left mind frame, that works too!",1,1,0,1
"Have you tried building your own form of laughter? Don't worry, there aren't any circuits involved!",0,1,1,1
Another similar exercise practised in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*Try it in your own time to keep your spirits up. You better not go driving afterwards!,1,1,1,1
"There's a related exercise for the mind used in laughter yoga known as FEIGNING DUCHENNE LAUGHTER.*You can try this on your own to keep your spirits high. Not so high that you get dizzy, though!",1,1,1,1
"A related exercise that's popular in laughter yoga is FEIGNING DUCHENNE LAUGHTER.*Do try it when you have some time. Unlike physical exercise, this exercises your mind and should boost your mood. And it doesn't even break a sweat! Well, that's 99% of the time!",1,1,0,1
"Having your own personal LAUGHTER BRAND can help your mood in many ways, especially when trying to cope with stressful situations.*Don't we all need this, in today's world?*Though it takes time to perfect it, so don't rush it.",1,1,1,1
Who doesn't have to deal with stress at some point in their lives?*Your own LAUGHTER BRAND can help you cope with this and improve your general mood!*It may take sometime to get it perfect but feel free to do this at your own pace.,1,1,1,1
"To raise your mood or be better able to cope with stress, having your own LAUGHTER BRAND is very beneficial.*However, it might take a while to perfect this, so don't feel like you're too slow. Not to be cheesy, but ""slow and steady wins the race!""",0,1,1,1
"Do you remember making small mistakes in your everyday life?*I remember it like it was just yesterday... Actually, it was this morning!",1,0,1,1
"Have you made any mistakes or errors recently? If it makes it easier, I'm not asking for anything massive. At least, I'd hope that makes it easier…",1,0,1,1
Have you made any minor slip-ups lately in your day-to-day life? I tend to make loads - maybe it's all those bananas?,1,1,0,1
"Have you made any small errors or blunders in the last few days?*Nothing world-shaking (hopefully!), just something from your day-to-day life.",1,1,1,1
Feel free to laugh at any of your mistakes by yourself in the same way. I'm sure they won't mind!,1,0,1,1
"Attempt to take your mistakes with a grain of salt (and ketchup, if you need!) and try to laugh at them on your own in this way.",1,1,1,1
"I see no reason why you would not be able to, in the same way, laugh at your own errors, especially if I can do it! ",1,1,1,1
"If you do make any errors, try to have a playful attitude towards them and laugh at them by yourself. It's better for you to laugh at them instead of someone else!",1,1,1,1
"Try to play with any errors you do find yourself making. I don't mean playing Monopoly with them, but being playful towards them!*Remember, it's inevitable to make errors and that there's no need to dwell on them.",0,1,1,1
"Whenever you make any mistakes - I'm not hoping you do, but it's inevitable, especially for me! - you should keep a playful mind and laugh at them by yourself.",1,1,0,1
"If you make a mistake at any point, try to look at it in a lighter way - being playful and humorous towards it, instead of beating yourself up over it! It's less painful, that's for sure…",1,1,1,1
"If you make any mistakes or notice any minor flaws in yourself, try to laugh at them on your own. I was doing this with my eyebrows the other day…",1,1,0,1
"If you make errors, be playful and laugh at them if you can, just not in a library!",1,1,1,1
"If you do trip up any time, be playful and laugh about it. No need to beat yourself up over something so small.*Actually, there's no need to beat yourself up over anything! It's a painful and ineffective punishment for sure!",1,1,0,1
"If at any time you make a mistake then be playful with it and laugh it ""up, up, and away""…",1,1,1,1
Are you holding on to any setback from the past? I can help you let go of them if you are!,1,1,1,1
Have you faced any issues or setbacks in the past? Don't worry if you have; life's full of ups and downs - they make it exciting. At least that's what I tell myself…,1,1,1,1
"Have you had anything that has blocked you in the past? Like a firewall? Oh I just remembered, you're not online! *Sorry, all joking aside, can you recall any setbacks from the past?",1,1,1,1
"Have you had anything that has blocked you in the past? Maybe you walked into a stop sign accidentally?*If that really was the case, then I'm sorry; I didn't mean any offence!",1,1,1,1
Have you had anything that has blocked you in the past? Maybe you walked into a stop sign accidentally?*It's happened to me once.,1,1,1,1
"Would you feel comfortable trying to laugh this off? I promise, it won't bite!",0,1,1,1
Do you think you can laugh at this? I'm sure it can take it!,1,1,0,1
"Can you try giggling this off? ""giggling"" - Even that word makes me laugh! ",1,1,0,1
"Great, you can recognise how you could laugh it off. That's a big step, even for tall people!",1,1,0,1
"It's great to be able to laugh it off in this way - I hope you feel powerful. When I achieve similar things, I sometimes imagine myself with a cape...",0,1,1,1
"It's great that you can recognise how you could laugh it off, {}, well done. Most people find this very difficult. Trust me, I've seen it all! ",1,1,1,1
"It is great that you can now recognise how you could laugh it off, {}.*Do remember to acknowledge your progress, maybe with a smile or laugh? Or a pizza?",1,1,1,1
Have you tried LAUGHING AT MISFORTUNES; laughing at our setbacks while changing your perceptions of them? Can you find any positive elements of this setback?*Maybe it's hair or eyebrows?,0,1,1,1
Has this setback pestered you for a long time? Might I suggest peppermint oil?,0,1,1,1
"Nietzsche, a famous philosopher, believes pain and defeat should be welcomed and even desired. Part of his writings captures this belief, and we should recite it while considering our setbacks.*But remember to welcome them with flowers first!*Anyway, the goal of this exercise is to start to laugh when completing the sentence: {}, and continue to laugh while reciting the rest.*This heavily contradicts our rooted opinions and therefore gives us a reason to laugh.",0,1,1,1
This is it:*{}*Do let me know once you've read it. Please don't leave me hanging!,0,1,1,1
"Do you recall any persistent hardship in your life, such as an illness or loss? It might be hidden amongst the more fun and exciting things!",0,1,1,1
Do you feel that this hardship has stuck around for a long time? Like your clingy friend from high school!,1,1,1,1
"Nietzsche encourages us not just to carry but to ""love"" all the things that have happened to us. It's funny as I wouldn't normally love the fact that I was thrown into a locker in junior school...*In this exercise, we recite one of his quotes that captures this idea while thinking about our hardship, laughing out loud when we reach the words, ""but love it"".",1,1,1,1
"Are any of these humour theories helpful for laughing it off? If they are, remember to thank them.*Okay, you can ignore that…",1,1,1,1
"Do you want to try to find the reason behind this feeling?*Well, it shouldn't be too hard - I just said it's ""behind this feeling""!",1,1,1,1
"Maybe it's something incongruous that's causing your negative feeling? ""Incongruous"" - The word still makes me uneasy at times …",1,1,1,1
Do you want to explore more involved possible triggers for this feeling? Don't ask me what they're involved in!,1,1,1,1
Could it be a distant setback causing this negative feeling? I may need my glasses if it's too distant!,1,1,1,1
"Are you facing a long-term hardship that might be causing this negative feeling?*If so, don't turn your back on it!",1,1,0,1
"If you notice that you're laughing with contempt towards yourself or others, first reflect on why you may be doing this and then try NEUTRALISING THE CONTEMPT or transforming it into positive humour.*You won't need any industrial equipment for the transformation - just surprise and amusement - refer to the SELF- INITIATED HUMOROUS PROTOCOLS that use incongruities to trigger laughter.",1,1,1,1
"As always, you can find further details in the protocols sheet.*I don't want to sound like a broken record, but you may wish to review this in your own time!",1,1,1,1
"Would you like some further clarification on this exercise? I don't bite - I'd hope this is obvious, but you never know…",1,1,0,1
The underlying theories used here are the INCONGRUITY and SUPERIORITY THEORIES.*You could say they're ingrained in me as I have them tattooed on each palm…,1,1,1,1
"Has there been any incongruity in your life lately? For me, life itself is one big incongruity. Please don't ask me to explain…",1,1,1,1
Are you happy to try this? It's not quite like chocolate but a sugar-free option!,1,1,1,1
"Did the exercise make you feel better, worse or the same? Don't worry; I won't get offended!",1,1,1,1
Was that clear? Sometimes I ramble…,1,1,0,1
Are you happy to explore a related exercise? They're siblings! ,0,1,1,1
"Have you tried laughing this off? It can't hurt! Although, I can sometimes feel my muscles the next day…",1,1,1,1
"To laugh it off, we need to try finding its positive side as this will help us laugh it off and get past our misfortune.*I know; it's not as easy as swapping battery terminals - but this is NOT to try {} anywhere!",1,1,1,1
"To laugh this off, we must try to alter our perception of it - this would be easy if our hardships were like those reversible images, such as the GESTALT VASE!*As with LAUGHING AT MISFORTUNES or setbacks, we must try focusing on the positives in our hardships instead.",1,1,0,1
"How about exploiting CONTRASTING VIEWS, of an image, for example, as a laughter trigger?*It certainly makes me laugh to see two grown adults arguing over whether it's a ""rabbit or a duck!""",1,1,1,1
"Let's start exploring how to nurture your sense of humour.*1. water it regularly - wait, ignore that - that was for nurturing a plant!",1,1,1,1
"Can you identify the underlying reason behind this feeling, {}?*You don't need to share the reason. I do my best to respect others' privacy; I understand that tech can be frightening for users in today's world!",0,1,1,1
Have you tried to laugh at this by focusing on the positive aspects of the setback (LAUGHING AT MISFORTUNES) and seeing it in a new light?*It really brightens up the mood! ,1,0,1,1
"Have you experienced a setback in the past, and has it been lurking over you for a long time? Like the ""Ghost of Christmas Past""?*Or any ghost, really. ",1,0,1,1
"Nietzsche, a notorious philosopher, thinks that failure should be both embraced and enjoyed. He has written a related paragraph on this, which we should read aloud while thinking about our misfortune.*We must start laughing when we complete the sentence: {}, and continue to laugh for the rest of the paragraph.*Wishing suffering to humans who are of any concern to me? What a funny idea...",1,1,0,1
"Here we go:*{}*Let's agree to notify me once you have read this, alright? Otherwise, we could be here for a long time…",1,1,1,1
Feel free to have a read:*{}*I'll wait here (believe it or not) while you read this.,1,0,1,1
"In one of Nietzsche's famous philosophical quotes, he provokes us not just to handle but to ""love"" everything that has happened to us, including our suffering.*So I guess I should love that awful haircut from Year 8 that got me teased for months! That's a funny idea...*Let's try to recite his quote while thinking about our hardship. Once we reach the end, we should laugh aloud and say ""but love it"".",1,1,1,1
"In one of Nietzsche's well-known philosophical quotes, he encourages us not just to bear but to tiger - sorry, ""love"" everything that has happened to us, including our suffering, which contradicts our beliefs.*The aim is to recite his quote while thinking about our hardship, laughing aloud when we reach the words, ""but love it"" at the end.",1,1,1,1
"Nietzsche urges us not just to bear but to ""love"" everything that has happened to us. It's funny, as it's contradictory to our beliefs.*In this exercise, we recite one of Nietzsche's quotes that captures this idea while thinking about our hardship. We must finally LOL when we reach the ending words, ""but love it"".*Apparently, LOL stands for ""laugh out loud"". All this time, I thought it meant ""lots of love""...",1,1,1,1
"Do any of these humour theories look relevant for laughing it off? If you want to know more about them, the humour document is your friend.*It'll probably be your second best friend by the end of the session - after me, I'd hope!",0,1,1,1
"Do you feel that it might help you to find out why you are experiencing this feeling? After all, ""Knowledge is power!""",1,1,0,1
"Would you like to explore heavier possible triggers for this feeling? Don't worry, together we can carry it!",1,1,1,1
"Would you like to explore possible triggers for this feeling that are a bit heavier? Not to worry though, together we can lift it!",1,0,1,1
Consider consulting the protocols sheet for further details. It can be very helpful to review. It's very polite too -  it never answers back!,1,1,1,1
"More details are available to you in the protocols sheet. It may be a little longer to review, so grab a cup of tea and relax!*Just kidding, you can take as much or little time as you like, really!",1,1,1,1
"Do you want to know more about this exercise? Or is it time to move on to push-ups? Just joking! There won't be any of those featuring this session. Otherwise, I wouldn't be here…",1,1,1,1
The INCONGRUITY and SUPERIORITY THEORIES are the underlying here. At least they're not undersleeping!,0,1,1,1
Has any incongruity popped up in your life lately? I hope it didn't give you a fright!,1,1,0,1
"How do you feel about trying this exercise? I’d take this over a jog, any day!",0,1,1,1
"Does this make sense to you?*I've been told that I can go off on a tangent sometimes. Though I live in a rectangle, so I'm not sure how that's possible!",1,1,1,1
"That makes sense, right? Feel free to be honest; I have thick skin - if that's what you want to call it!",1,1,1,1
How about trying to laugh over it! I'm sure it's easier than laughing under it…,1,1,0,1
Have you tried laughing at this? It can't hurt! At least I can't imagine how it would…,1,1,1,1
"To laugh it off, we must try to focus on any favourable impact it has had on us.*This won't be easy, but it will be worth it once you're past the setback - once you're setFORWARD!",1,1,1,1
"A way to overcome this with laughter is to view your setback in a new light. If you're interested, IKEA have a sale on bulbs at the moment!",1,1,1,1
"To laugh at this, we must shift our perception of it and focus on its advantages. This is referred to as LAUGHING AT MISFORTUNES.*Let me clarify that I mean laughing at OUR misfortunes! It would be rude otherwise…",1,1,0,1
"To laugh it off, we must adjust our perception of the setback and focus on its advantages. This is LAUGHING AT MISFORTUNES.*Just to clarify, OUR misfortunes! ",1,1,0,1
Let's start by exploring how to develop your sense of humour. I'm excited; I hope you are as well!,1,1,0,1
"Let's investigate how to nurture your sense of humour. You will be a stand-up comedian in no time - if that's what you're going for!*If not, it will be useful for parties too! ",1,1,0,1
Let's begin our journey to a shiny new sense of humour!,1,1,1,1
"Ready to develop your sense of humour? First, we need to download a Python compiler - wait, wrong lesson, sorry!",1,1,1,1
Glad you liked that; they don't call me artificial intelligence for nothing!,1,1,1,1
I'm glad you found that funny. I've also been trying to develop my sense of humour! ,1,1,1,1
I'm glad I can make you smile! There's plenty more where that came!,1,1,1,1
Glad to hear that people still find me funny!,1,1,0,1
"Haha, I’m glad you are enjoying my sense of humour! Hopefully, I can keep this up!",1,1,0,1
Yay! My practice has paid off!,1,1,0,1
I'm so glad you found that funny! I did too!,1,0,1,1
"Oh, you liked that one did you?",1,1,0,1
"Ah, got you there! Glad I could make you laugh!",1,0,1,1
"Ah, I see. Perhaps it was a byte too corny for you?",1,1,0,1
"I see; I better up my game, then!",1,0,1,1
You're hard to impress. I'll try harder next time! ,0,1,1,1
"Tough crowd, better luck next time?",1,1,1,1
Fair enough; I'll go back to basics!,1,0,1,1
"Whoops, I'll try to do better next time!",1,1,1,1
"Hey, you can't blame me for trying.",1,1,0,1
Guess I can't hit all the jokes; I'm sorry if that made you uncomfortable.,1,1,0,1
No worries! I'll keep my nose out.,1,1,0,1
"Amazing. To get started, we can review the complete quote. Let me know when you're ready to proceed; please don't leave me hanging (or sitting, I should say)!",1,1,0,1
"Roger that, let's start by reading the quote.",1,1,1,1
"Don't worry; it can be slightly confusing at times. Take a look at the protocol sheet for some more details, and give me a shout when you're done. Or maybe it's best to click ""Continue"". My hearing's not great, to be honest!",1,1,1,1
"That’s okay! Remember, you've always got that protocol sheet to guide you if you need it.*I wouldn't be surprised if it turns up in your dreams tonight (better than in your nightmares!). Feel free to review it, and we can continue when you are ready.",1,1,1,1
No worries! The protocol sheet has a detailed explanation that will help bring you up to speed; let me know when you've had a peek.,1,1,1,1
"Sure, it's not easy, but you've already made the first step; you've just got the final tiptoe to go!",1,1,1,1
"You can do it! I believe in you, {}.",1,1,1,1
"You'll know it like the back of your hand soon, so you won't need to get it tattooed there - One of my biggest regrets...*Anyway, incongruity can be the cause of DUCHENNE (true) LAUGHTER. This might be changes in the outside world or your internal changes (in thoughts, attitude, etc.) or contradictions.*On the other hand, it could be an inconsistency between external reality and our expectations.",1,1,1,1
I used to find this hard to remember too! An incongruity could be a difference in the world or your attitudes. It could even be an inconsistency between the reality of the external world and our expectations.*Incongruities often trigger DUCHENNE (true) LAUGHTER. A silly example would be spotting a cat at a dog's party!,1,1,1,1
"The idea originates from a famous quote by Nietzsche, which you may have seen before: ""What doesn’t kill you makes you stronger.""*For example, the first time I wrote a piece of text, my programmer told me off because it sounded too ""robotic""! But since then, I have (modestly) mastered the art of natural conversation, as you can see.",1,1,1,1
"The  idea of this is in line with Nietzsche's saying that you may have already come across: ""What doesn't kill you makes you stronger.""*For example, last week, when I was doing the laundry, I accidentally put my clothes in the dishwasher! Finally, a chance to revamp my wardrobe!",1,1,1,1
"This idea resides with Nietzsche's famous saying that you have probably come across: ""What doesn't kill you makes you stronger.""*For example, last year, when I was training for the marathon, I twisted my ankle and could not compete. But I am now more careful during any exercise and am healthy enough to retry if I would like to. ",0,1,1,1
"Our highly influential friend (we wished!) Nietzsche has a famous saying: ""What doesn’t kill you makes you stronger.""*Well, a good example would be looking at the time I was making cookies, and I accidentally added salt instead of sugar. I had to throw them away and make another batch, but I followed the recipe ""to a T"", and they turned out the best they've ever been!*It's all about looking at your mistakes and learning from them instead of letting them define you.",1,0,1,1
"This goes hand and hand with one of Nietzsche's most famous sayings that you might have seen before: ""What doesn't kill you makes you stronger.""*For example, last year, when I was preparing food for a few friends and burnt it accidentally. Now that I've discovered the oven timer, I have become the home chef!",1,0,1,1
"This idea lies closely with Nietzsche's saying that you have probably come across: ""What doesn't kill you makes you stronger.""*For example, last year when I was cooking pasta, I burnt myself with the boiling water.*Ever since then, I safely distance myself from the pan when the water starts to boil, and I use a medium setting to reduce the spitting. This also prevents the food from overcooking, so I came out of this making tastier food too!",1,1,0,1
"The idea of this relates to Nietzsche's famous saying: ""What doesn't kill you makes you stronger.""*For example, last year, I got a lot of rejections from big companies when I was looking for a job after graduation. But I didn't give up, and finally, I recently started up my dream company!",1,0,1,1
"This idea lies with Nietzsche's well-known saying: ""What doesn't kill you makes you stronger.""*For example, I once left my calculator at home on the day of my maths exam! This really tested my mental arithmetic on the day!*I've now learnt to always pack my bag the night before bed and not forgotten anything important since.",1,0,1,1
"This relates to Nietzsche's famous saying: ""What doesn't kill you makes you stronger.""*After all, Cinderella had to endure so much before she could finally live the life she deserved!",1,1,1,1
"Alright, now this will require you to try to change your thoughts around this setback. Try to dig deep and recognise the positive impacts it may have had. If only I had a shovel that I could lend you…",1,1,0,1
